Year:number,CO2:number,CH4:number,N2O:number
1800,282.9,741.6,273.0
1805,283.4,746.2,273.2
1810,283.8,750.8,273.5
1815,284.0,755.6,273.7
1820,284.2,760.3,274.0
1825,284.3,765.1,274.2
1830,284.4,769.8,274.4
1835,283.8,774.6,274.7
1840,283.4,779.4,274.9
1845,283.9,785.5,275.2
1850,284.7,791.6,275.4
1855,285.4,798.6,275.9
1860,286.2,805.6,276.4
1865,286.9,813.3,276.9
1870,287.5,821.0,277.4
1875,288.7,829.1,277.8
1880,290.7,837.1,278.2
1885,293.0,846.9,278.7
1890,294.2,856.6,279.1
1895,294.8,868.0,279.5
1900,295.8,879.4,279.8
1905,297.6,900.9,280.3
1910,299.7,924.0,281.0
1915,301.4,949.7,281.8
1920,303.0,978.1,282.9
1925,305.0,1007.7,284.0
1930,307.2,1036.2,285.0
1935,309.4,1063.4,285.9
1940,310.4,1088.9,286.7
1945,310.1,1115.0,287.8
1950,310.7,1147.5,289.0
1955,313.0,1192.3,290.1
1960,316.9,1247.5,291.4
1965,320.0,1312.2,292.9
1970,325.0,1386.0,294.9
1975,331.3,1465.4,297.4
1978,334.6,1514.0,298.8
1979,336.7,1530.6,300.0
1980,338.7,1547.1,300.6
1981,339.7,1567.5,301.2
1982,340.9,1587.9,303.6
1983,342.5,1608.3,303.8
1984,344.1,1628.7,304.0
1985,345.5,1649.1,304.5
1986,346.9,1669.5,305.4
1987,348.5,1680.7,305.6
1988,350.9,1698.8,306.5
1989,352.6,1710.5,307.5
1990,353.7,1709.3,308.8
1991,355.1,1729.1,309.6
1992,355.9,1731.1,310.0
1993,356.6,1735.7,310.3
1994,358.2,1741.7,311.0
1995,360.2,1747.1,311.8
1996,362.0,1749.6,312.7
1997,363.2,1754.0,313.4
1998,365.7,1763.0,314.0
1999,367.8,1772.8,314.8
2000,368.9,1774.4,315.8
2001,370.5,1773.3,316.6
2002,372.5,1773.5,317.2
2003,375.1,1777.6,317.9
2004,376.6,1775.3,318.5
2005,379.0,1774.6,319.2
2006,381.2,1775.6,319.9
2007,382.9,1781.7,320.7
2008,385.0,1789.9,321.6
2009,386.4,1793.6,322.3
2010,388.7,1796.8,323.0
2011,390.6,1803.5,324.0
2012,392.6,1810.3,324.9
2013,395.5,1813.9,325.7
