 Year Mo Globe  Land Ocean   NH   Land Ocean   SH   Land Ocean Trpcs  Land Ocean NoExt  Land Ocean SoExt  Land Ocean NoPol  Land Ocean SoPol  Land Ocean USA48 USA49  AUST
 1978 12 -0.28 -0.36 -0.24 -0.30 -0.41 -0.20 -0.26 -0.27 -0.26 -0.21 -0.22 -0.21 -0.37 -0.51 -0.20 -0.26 -0.21 -0.28 -0.61 -1.29  0.47 -0.20 -0.20 -0.21 -1.60 -1.46 -0.50
 1979  1 -0.25 -0.40 -0.17 -0.47 -0.69 -0.26 -0.03  0.17 -0.10 -0.12 -0.11 -0.13 -0.67 -0.88 -0.40  0.03  0.41 -0.07 -0.45 -1.03  0.46  0.25  0.43  0.10 -3.75 -2.77  1.22
 1979  2 -0.26 -0.46 -0.14 -0.42 -0.57 -0.26 -0.10 -0.24 -0.05  0.00  0.07 -0.03 -0.65 -0.82 -0.43 -0.13 -0.39 -0.06 -2.86 -3.15 -2.39 -0.31 -0.68 -0.01 -2.41 -2.48 -0.17
 1979  3 -0.26 -0.34 -0.21 -0.35 -0.36 -0.34 -0.17 -0.30 -0.13 -0.10 -0.15 -0.08 -0.51 -0.46 -0.57 -0.17 -0.31 -0.13 -0.94 -1.14 -0.63 -0.41 -0.89 -0.03 -0.52 -0.34  0.32
 1979  4 -0.28 -0.40 -0.21 -0.39 -0.56 -0.23 -0.17 -0.09 -0.19 -0.05 -0.04 -0.05 -0.59 -0.76 -0.36 -0.21 -0.04 -0.26 -0.91 -0.88 -0.98  0.03  0.69 -0.48 -0.93 -0.61 -0.89
 1979  5 -0.25 -0.35 -0.19 -0.38 -0.37 -0.38 -0.11 -0.29 -0.05 -0.12 -0.16 -0.09 -0.49 -0.44 -0.56 -0.14 -0.42 -0.06 -0.82 -0.45 -1.41  0.07 -0.10  0.20 -0.89 -0.74 -1.05
 1979  6 -0.20 -0.26 -0.17 -0.26 -0.29 -0.22 -0.15 -0.19 -0.14 -0.06 -0.09 -0.04 -0.32 -0.33 -0.32 -0.24 -0.34 -0.21 -0.69 -0.94 -0.30 -1.08 -1.17 -1.01 -0.29 -0.38 -0.24
 1979  7 -0.12 -0.28 -0.03 -0.00 -0.16  0.15 -0.24 -0.51 -0.15  0.00 -0.05  0.03 -0.03 -0.25  0.24 -0.34 -0.76 -0.23 -0.15 -0.39  0.24 -1.04 -1.47 -0.70 -0.17 -0.11 -0.60
 1979  8 -0.24 -0.34 -0.18 -0.19 -0.29 -0.09 -0.29 -0.42 -0.24 -0.01  0.02 -0.03 -0.30 -0.42 -0.16 -0.41 -0.72 -0.32 -0.25 -0.43  0.04 -1.04 -1.13 -0.96 -0.71 -0.34 -0.69
 1979  9 -0.10 -0.16 -0.06 -0.14 -0.14 -0.15 -0.06 -0.21 -0.00  0.03  0.03  0.03 -0.22 -0.17 -0.28 -0.11 -0.48 -0.02 -0.17 -0.11 -0.26 -0.12 -0.34  0.06  0.96  1.00 -0.35
 1979 10  0.01 -0.10  0.07 -0.04 -0.13  0.05  0.06 -0.05  0.09  0.14  0.18  0.11 -0.14 -0.22 -0.05  0.03 -0.25  0.11 -0.49 -0.60 -0.32 -0.11 -0.63  0.31  0.17  0.43  0.03
 1979 11 -0.11 -0.11 -0.11 -0.11 -0.16 -0.06 -0.12 -0.03 -0.15  0.20  0.12  0.23 -0.26 -0.28 -0.24 -0.29 -0.08 -0.35 -0.81 -0.32 -1.59 -0.08  0.02 -0.15 -1.28 -0.65  0.47
 1979 12  0.02  0.21 -0.09 -0.03  0.12 -0.17  0.07  0.37 -0.03 -0.02 -0.15  0.05 -0.02  0.23 -0.33  0.10  0.75 -0.08 -1.07 -0.64 -1.74  1.34  1.51  1.21  1.66  0.72  0.41
 1980  1 -0.08 -0.32  0.07 -0.33 -0.60 -0.06  0.17  0.22  0.16  0.11  0.13  0.10 -0.56 -0.85 -0.19  0.21  0.32  0.18  0.31  0.18  0.51  0.86  0.79  0.91 -0.97 -1.08  0.19
 1980  2  0.01  0.01  0.01 -0.17 -0.14 -0.19  0.18  0.31  0.14  0.12  0.03  0.17 -0.32 -0.17 -0.50  0.22  0.49  0.15  1.30  1.58  0.85  1.05  1.06  1.04 -1.15 -0.63  0.70
 1980  3 -0.10 -0.32  0.02 -0.42 -0.72 -0.13  0.21  0.46  0.12  0.07 -0.07  0.14 -0.69 -0.95 -0.34  0.30  0.95  0.12 -0.22 -0.65  0.48  1.47  2.01  1.04 -1.49 -1.37  0.59
 1980  4  0.04  0.04  0.03 -0.23 -0.27 -0.20  0.31  0.64  0.19  0.19  0.19  0.19 -0.46 -0.44 -0.49  0.38  1.07  0.19 -0.62 -0.53 -0.77  1.88  2.58  1.33 -0.59 -0.56  0.39
 1980  5  0.08  0.08  0.08 -0.09 -0.16 -0.02  0.25  0.54  0.15  0.25  0.23  0.26 -0.25 -0.28 -0.20  0.24  0.77  0.10 -0.25 -0.54  0.22  0.83  1.17  0.57 -0.46 -0.38  0.83
 1980  6  0.04 -0.17  0.17 -0.03 -0.20  0.14  0.11 -0.10  0.19  0.27  0.16  0.32 -0.17 -0.31  0.01  0.03 -0.34  0.13 -0.48 -0.73 -0.08 -0.49 -0.64 -0.36 -0.69 -0.61  0.19
 1980  7 -0.00  0.09 -0.05 -0.04 -0.10  0.01  0.04  0.45 -0.09  0.04  0.00  0.06 -0.10 -0.14 -0.03  0.05  0.86 -0.16 -0.79 -0.92 -0.59  1.60  2.70  0.73  0.79  0.60 -0.15
 1980  8  0.05  0.15 -0.01 -0.07 -0.04 -0.10  0.17  0.53  0.04 -0.05 -0.13 -0.01 -0.07  0.00 -0.15  0.26  1.03  0.06  0.08  0.55 -0.68  1.30  2.27  0.54  0.10 -0.11  0.69
 1980  9  0.07  0.13  0.03 -0.09 -0.15 -0.04  0.23  0.68  0.07  0.08  0.08  0.09 -0.18 -0.22 -0.14  0.30  1.16  0.07 -0.24 -0.12 -0.44  1.42  2.19  0.80  0.56  0.40  1.45
 1980 10 -0.03 -0.06 -0.02  0.02 -0.04  0.08 -0.09 -0.09 -0.09  0.04  0.09  0.02 -0.01 -0.10  0.11 -0.14 -0.19 -0.13  0.85  0.85  0.84 -0.52 -0.44 -0.59 -0.46 -0.17 -0.06
