 Year Mo Globe  Land Ocean   NH   Land Ocean   SH   Land Ocean Trpcs  Land Ocean NoExt  Land Ocean SoExt  Land Ocean NoPol  Land Ocean SoPol  Land Ocean USA48 USA49  AUST
 1978 12 -0.35 -0.36 -0.35 -0.29 -0.28 -0.29 -0.41 -0.54 -0.39 -0.47 -0.54 -0.45 -0.20 -0.24 -0.17 -0.37 -0.45 -0.35 -0.22 -0.50  0.09 -0.33 -0.14 -0.42 -1.00 -0.91 -1.32
 1979  1 -0.32 -0.47 -0.26 -0.45 -0.66 -0.32 -0.18 -0.04 -0.21 -0.37 -0.47 -0.35 -0.49 -0.70 -0.31 -0.08  0.23 -0.14 -0.09 -0.59  0.50 -0.07 -0.01 -0.10 -3.03 -2.21  1.05
 1979  2 -0.26 -0.34 -0.23 -0.23 -0.30 -0.18 -0.29 -0.45 -0.26 -0.24 -0.15 -0.26 -0.23 -0.36 -0.12 -0.31 -0.60 -0.26 -1.67 -1.98 -1.31 -0.63 -0.99 -0.46 -1.53 -1.56 -0.31
 1979  3 -0.25 -0.32 -0.22 -0.26 -0.25 -0.26 -0.24 -0.47 -0.19 -0.27 -0.36 -0.24 -0.27 -0.23 -0.30 -0.21 -0.51 -0.16 -0.27 -0.18 -0.37 -0.42 -1.08 -0.11 -0.44 -0.15  0.32
 1979  4 -0.28 -0.43 -0.23 -0.30 -0.47 -0.20 -0.26 -0.34 -0.25 -0.25 -0.34 -0.23 -0.34 -0.53 -0.16 -0.26 -0.27 -0.26 -0.41 -0.40 -0.41 -0.14  0.54 -0.47 -0.65 -0.32 -1.02
 1979  5 -0.28 -0.43 -0.22 -0.37 -0.40 -0.35 -0.18 -0.50 -0.12 -0.34 -0.47 -0.30 -0.37 -0.36 -0.37 -0.13 -0.58 -0.05 -0.45 -0.21 -0.73  0.03 -0.28  0.17 -0.79 -0.66 -1.10
 1979  6 -0.27 -0.49 -0.19 -0.37 -0.50 -0.29 -0.17 -0.45 -0.11 -0.22 -0.35 -0.18 -0.42 -0.52 -0.33 -0.19 -0.62 -0.11 -0.54 -0.88 -0.14 -1.18 -1.73 -0.92 -0.60 -0.63 -0.35
 1979  7 -0.19 -0.46 -0.09 -0.10 -0.26  0.01 -0.29 -0.92 -0.16 -0.22 -0.38 -0.18 -0.05 -0.27  0.14 -0.30 -1.19 -0.14 -0.12 -0.30  0.08 -1.14 -2.26 -0.60 -0.16 -0.09 -0.77
 1979  8 -0.29 -0.44 -0.23 -0.24 -0.32 -0.19 -0.33 -0.71 -0.26 -0.22 -0.24 -0.22 -0.27 -0.38 -0.18 -0.37 -0.97 -0.27 -0.13 -0.22 -0.03 -1.05 -1.48 -0.84 -0.79 -0.41 -0.83
 1979  9 -0.17 -0.30 -0.11 -0.18 -0.21 -0.17 -0.15 -0.53 -0.07 -0.18 -0.29 -0.15 -0.18 -0.18 -0.19 -0.13 -0.73 -0.02  0.03  0.14 -0.09 -0.19 -0.56 -0.01  0.80  0.87 -0.54
 1979 10 -0.01 -0.16  0.04  0.01 -0.12  0.10 -0.04 -0.24 -0.00 -0.07 -0.13 -0.05  0.03 -0.11  0.16 -0.01 -0.36  0.06  0.04 -0.11  0.22 -0.16 -0.58  0.03  0.42  0.63 -0.20
 1979 11 -0.13 -0.01 -0.17  0.13  0.14  0.11 -0.38 -0.36 -0.38 -0.07 -0.22 -0.03  0.23  0.22  0.24 -0.54 -0.40 -0.56 -0.02  0.41 -0.52 -0.47 -0.36 -0.53 -1.06 -0.45 -0.06
 1979 12 -0.07  0.15 -0.16  0.04  0.22 -0.08 -0.18  0.00 -0.22 -0.30 -0.51 -0.24  0.23  0.44  0.04 -0.13  0.31 -0.21 -0.37  0.07 -0.87  0.80  1.01  0.70  1.83  1.12 -0.17
 1980  1 -0.07 -0.31  0.03 -0.09 -0.41  0.12 -0.05 -0.11 -0.04 -0.08 -0.12 -0.07 -0.12 -0.48  0.20 -0.00 -0.08  0.01  0.84  0.81  0.87  0.64  0.63  0.65 -0.55 -0.56 -0.22
 1980  2  0.08  0.08  0.08  0.04  0.06  0.03  0.11  0.13  0.11  0.03 -0.14  0.08  0.03  0.13 -0.06  0.18  0.26  0.16  1.72  1.96  1.44  0.66  0.52  0.73 -0.77 -0.29  0.77
 1980  3 -0.02 -0.19  0.05 -0.13 -0.46  0.09  0.09  0.42  0.02 -0.03 -0.09 -0.01 -0.20 -0.59  0.15  0.17  0.89  0.04  0.19 -0.16  0.58  1.01  1.47  0.79 -0.89 -0.78  0.45
 1980  4  0.03  0.01  0.04 -0.11 -0.19 -0.05  0.17  0.46  0.11 -0.00 -0.09  0.02 -0.16 -0.23 -0.10  0.27  0.90  0.15 -0.24 -0.24 -0.24  1.45  2.31  1.04 -0.37 -0.37  0.01
 1980  5  0.06  0.02  0.08 -0.02 -0.12  0.04  0.14  0.32  0.10  0.04 -0.07  0.07 -0.05 -0.13  0.03  0.19  0.60  0.11  0.10 -0.20  0.44  0.70  1.08  0.52 -0.51 -0.40  0.21
